epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
163,8338.21,0.12973,0.25672,0.1108,0.97493,0.95184,0.96078,0.71728,0.28025,0.38888,0.39449,4.654e-05,4.654e-05,4.654e-05
164,8389.2,0.12812,0.25746,0.10719,0.96461,0.95626,0.96414,0.72184,0.27193,0.39191,0.36497,4.621e-05,4.621e-05,4.621e-05
165,8440.19,0.12105,0.24554,0.10564,0.9714,0.96235,0.96588,0.72173,0.27513,0.39447,0.37785,4.588e-05,4.588e-05,4.588e-05
166,8491.11,0.13019,0.25272,0.10679,0.97592,0.95775,0.96687,0.72254,0.27836,0.38342,0.37639,4.555e-05,4.555e-05,4.555e-05
167,8542.16,0.1224,0.24077,0.09976,0.96707,0.96515,0.96675,0.72502,0.27683,0.39391,0.37751,4.522e-05,4.522e-05,4.522e-05
168,8593.14,0.12074,0.24394,0.10083,0.97363,0.94975,0.96192,0.72081,0.28021,0.38329,0.38242,4.489e-05,4.489e-05,4.489e-05
169,8644.2,0.12036,0.2548,0.10335,0.9725,0.95555,0.96119,0.71649,0.27648,0.39189,0.37638,4.456e-05,4.456e-05,4.456e-05
170,8695.18,0.12028,0.23909,0.10299,0.97695,0.95446,0.96357,0.71312,0.28432,0.37487,0.39948,4.423e-05,4.423e-05,4.423e-05
171,8746.21,0.12017,0.24618,0.10305,0.9716,0.95358,0.96475,0.7141,0.28364,0.38137,0.38831,4.39e-05,4.39e-05,4.39e-05
172,8797.24,0.11704,0.24587,0.10262,0.96619,0.96677,0.96601,0.71927,0.28182,0.38307,0.38984,4.357e-05,4.357e-05,4.357e-05
